,DeltaG,DeltaH,DeltaH_0,DeltaG_std,DeltaH_std,DeltaH_0_std
569_sim,-7.268452681027016,-7.427437921932924,1.3092203005272087e-05,1.6632251989375642,2.006865069932856,5.815385591669767e-06
570_sim,-7.4870636107091695,-4.37357418158801,-5.111004795801254e-06,1.5170102049436132,1.082536847063238,4.032977145384181e-06
571_sim,-8.071530741814064,-5.061500583817592,-2.8766727549054807e-06,0.5653800319115274,0.5773219762542118,3.5844005981047557e-06
572_sim,-9.47284488343212,-5.204928656535073,-6.271768692400388e-07,0.39135112956960433,0.20659382278011182,1.0099877413102707e-06
573_sim,-8.249902273818517,-5.943305529901887,5.481284781649705e-06,1.007645252732758,0.7995109164762841,2.8317464297093656e-06
574_sim,-7.229279831401896,-7.034076591565334,1.2325383413522485e-05,1.2317366866930757,1.5821164552610147,5.4809284980097664e-06
575_sim,-10.358507750635836,-4.9906031259777,1.2627945472574356e-06,0.3380307114939243,0.07616311692557842,5.664017689805742e-07
576_sim,-8.950862081123233,-5.342470155474307,-1.3502085598833904e-06,0.45772863668477703,0.31749698085017286,1.965079126032512e-06
577_sim,-10.261018940507714,-5.076299495480342,1.3981067140103946e-06,0.49385897283417723,0.13581666538939166,7.424022896407414e-07
578_sim,-8.617953071752268,-5.102259693705368,3.5862348500383296e-06,0.3964538257999262,0.29968621577468396,1.9590710382817238e-06
579_sim,-10.133547963053989,-4.471021965296318,9.877472627282349e-07,1.0667763083663102,0.4530696375078259,5.591480228123983e-07
580_sim,-8.415789063852134,-4.89689879071404,4.185316921259066e-06,0.7234295363054802,0.48496754346537047,2.231725436437743e-06
581_sim,-8.974334603587208,-5.457650167281629,2.9387468421038088e-06,0.7365842887853771,0.47131019273058783,1.7525511135583795e-06
582_sim,-8.070128025789549,-3.9867490444913383,-2.3578104293418885e-06,2.0573426841659788,1.0742422417191744,2.6939195693235195e-06
583_sim,-8.191838688132831,-5.836470084607192,5.801453611234011e-06,0.8609403736399682,0.7236564672824015,3.0649811779805174e-06
584_sim,-8.232986182569228,-4.796652675777612,-3.2596389443553552e-06,0.7460314215650923,0.5996612921355813,3.123391045905622e-06
585_sim,-7.013217640400931,-7.22910155582354,1.4446409481989705e-05,0.8887901270184235,1.4941469617041847,5.73260785154253e-06
586_sim,-8.446727064754107,-5.134202313740296,-2.340172172828673e-06,0.050008181420057723,0.3668483950767271,2.679867080387459e-06
587_sim,-8.399102262523217,-4.13372824808643,-1.4745317628514179e-06,1.791465498011212,0.9159498288798082,2.228260971779029e-06
588_sim,-9.963206073874998,-5.097627572859012,3.9729566015126476e-07,0.26418645973338656,0.10274045509888576,6.114455160232504e-07
589_sim,-8.22076214186663,-5.529382882357032,5.274066007906623e-06,0.6050106435584596,0.5426355209023245,3.014238034453264e-06
590_sim,-9.456267309889531,-5.109099523939737,-6.386419831107954e-07,0.36212373041718027,0.18864985575452084,1.196666687416971e-06
591_sim,-8.29666122548667,-6.141637131261944,5.635140787940534e-06,1.4200271705096477,1.1147694228784315,3.2402435488905437e-06
592_sim,-8.87555713011753,-5.703120728576264,3.4343712464187555e-06,1.20275073255326,0.7163867319183743,2.2591167708147273e-06
593_sim,-9.27817000932444,-4.685617889253568,-7.859294698248851e-07,0.7413530444073537,0.3875084906114108,1.4772458363136561e-06
594_sim,-8.492508503724205,-5.232537013911706,3.8141515004390473e-06,0.38705273602531987,0.3301931247028363,2.2619015354568833e-06
595_sim,-9.922197006677964,-4.088146518948327,1.5604088329976664e-07,1.6900230304088941,0.6937302879130268,3.2038318736984765e-07
596_sim,-7.44594587202361,-4.468261009063161,-5.997008573365755e-06,1.2580082953418146,1.0335443010472694,4.464094714354078e-06
597_sim,-6.632906068807638,-8.738619229946774,1.9753989923625994e-05,1.2288119183102835,2.697876298500253,8.073692988870417e-06
598_sim,-9.34716604230784,-5.554704654470041,2.5939199251310386e-06,0.8844674445266483,0.5224805567019281,1.4694541529845826e-06
599_sim,-7.33882783183671,-6.159769177266192,1.0562884395698089e-05,0.4552595034065422,0.8916935444609085,4.538275750432803e-06
600_sim,-9.78582308484765,-5.2641481154213725,1.752646451077777e-07,0.4885003365802644,0.2512347049628185,6.585628933266175e-07
601_sim,-9.159317467991908,-5.508997217181204,3.114067311153099e-06,0.8352213213867276,0.5011056887344626,1.643514998618712e-06
602_sim,-7.136652195413276,-7.461323453380889,1.3913043061965864e-05,1.3566368885789064,1.8379580939307534,5.928629399923172e-06
603_sim,-7.877817240024973,-5.927645430043551,7.705210390269442e-06,0.6455965859337465,0.6827736139548524,3.467192048056321e-06
604_sim,-9.221415843245625,-5.331353035805182,2.687477900438073e-06,0.618218456066525,0.35911188846697106,1.48841654516179e-06
605_sim,-9.047628200088996,-5.025240226860396,-1.136679424378804e-06,0.360032046457,0.23947755774427307,1.7572065870676063e-06
606_sim,-8.234784401325157,-4.828253385604527,4.447491319027749e-06,0.7761720221313696,0.5356481515102942,2.2841726503711476e-06
607_sim,-7.434151419771418,-4.822606543168464,-6.491012741060907e-06,1.0588229568030672,0.8848581794835706,3.4109149840856113e-06
608_sim,-9.546007299975816,-5.238084630363101,-1.5022097890343608e-07,1.3482999616077542,0.3408137402468592,1.4969611270166992e-06
609_sim,-7.509453922503598,-6.478301137518372,9.937483111195078e-06,0.9618397657455777,1.095232612160009,4.366106470735216e-06
610_sim,-7.624724479505704,-5.3594687202615185,-5.9613689146197705e-06,0.507378979951142,0.807621336851472,4.803675749589119e-06
611_sim,-8.079634925471833,-5.039313874517536,-3.19372972623025e-06,0.4752583868947944,0.5901738715066026,3.5966364047406646e-06
612_sim,-9.79700473037575,-5.169066241858474,1.3836375607372978e-06,0.36938349871560894,0.18324896107022162,7.597948344554964e-07
613_sim,-8.763660549934325,-5.6154889828587,-1.9044047717451236e-06,0.980313642857198,0.6661367588844929,2.511361528275134e-06
614_sim,-7.324679339362401,-4.583681826743614,-7.889450603999065e-06,1.142248756295821,1.1381195142092566,5.277491959640084e-06
615_sim,-8.817989266599765,-4.411865079165184,-1.0058249322913819e-06,1.285637870711771,0.6628601335414472,1.6608604856189579e-06
616_sim,-9.881376283758692,-4.640069868767792,1.085125307223689e-06,0.767296069146488,0.3508258474316085,5.530139919935815e-07
617_sim,-8.857268356130339,-5.540909057008357,-1.918465472080086e-06,0.7800167041251655,0.5351129747603594,2.360302818118169e-06
618_sim,-9.727377649915928,-4.418215324803651,1.2693921427322305e-06,1.2965954530960841,0.5816909189354541,6.511521120101159e-07
619_sim,-8.560539512358222,-4.498463282374775,-1.8966517897460204e-06,1.1305256101006784,0.6647997933676858,2.5275898399496144e-06
620_sim,-9.212930874506057,-5.130797196946638,2.5739114648174805e-06,0.09518214812199068,0.18445665512323625,1.4089499546158445e-06
621_sim,-8.289113158600175,-5.514054528694047,5.374627679533102e-06,0.4958509744837411,0.45630689385633294,2.7307152695681873e-06
622_sim,-6.9647701279149645,-8.070244223550894,1.6094768869411883e-05,1.661119081843512,2.397601048508243,6.4954931138856956e-06
623_sim,-7.594594961047473,-4.318078294428869,-4.837980561942256e-06,1.5090091694645023,0.9071420417823876,8.067433193741475e-06
624_sim,-10.334933039050492,-5.097286040432251,1.3967319891575282e-06,0.377526292207578,0.12671414445390647,5.096553918869556e-07
625_sim,-10.158023227043271,-5.176151821165454,3.3967604318137747e-07,0.39765875830763087,0.18195830349782932,5.155045905232026e-07
626_sim,-9.337242812273713,-4.297024970804432,4.472876503914553e-08,1.354280235126877,0.6239061552547405,9.794302111565415e-07
627_sim,-6.978515134184197,-7.419142204087408,1.4551042531963408e-05,1.026831055683292,1.7432541167123954,6.298333915231781e-06
628_sim,-6.510208484074075,-11.767060964799706,2.6888277957220328e-05,3.4330933430089146,6.331174131314448,7.449181277305734e-06
629_sim,-8.202232338357533,-4.336253402582456,-2.1653253603613704e-06,1.4278821160514168,0.8427752976585812,3.0091966716545856e-06
630_sim,-10.045115955820284,-5.589963849381637,1.0598355834054258e-07,1.2825077818284973,0.7114689712442444,3.047015414753242e-07
631_sim,-9.016158450679296,-5.226331516034775,-1.5377172923366631e-06,0.4728019545696579,0.3115725210928414,1.9457205088113704e-06
632_sim,-8.236182104321326,-4.704914210974804,-3.1327977654034568e-06,0.8224036364010934,0.5927627128413289,2.964111811582657e-06
633_sim,-8.508072635337204,-5.184672976121993,4.1719367614255626e-06,0.08737794326986198,0.26579405254823396,2.0299830931722925e-06
634_sim,-8.019902271407917,-4.913779592735039,-3.6266174442399194e-06,0.6803960350867742,0.5977580626205948,3.381624217293519e-06
635_sim,-8.096724358643637,-4.594714678606471,-2.862811738313742e-06,1.0678130880189847,0.7328479461905986,3.176317982872648e-06
636_sim,-8.945520662463743,-4.748533830124695,-1.3458002187100724e-06,0.7371707720609789,0.4178059084022805,1.9224317101900438e-06
637_sim,-7.929640931792692,-6.788264583309298,8.123726666369643e-06,1.9095706623588684,1.6377302900974309,3.721908821377911e-06
638_sim,-8.545657205114221,-4.660761602137431,-1.487255650581595e-06,1.1291267246612489,0.694861144592273,2.6608138188010394e-06
639_sim,-8.636585626040777,-5.283479909428168,-1.9257763117968674e-06,0.47221559836773896,0.395834696878664,2.641566386280858e-06
640_sim,-9.68928090763007,-4.6691078628033,-4.299250146952519e-07,0.6102309217688748,0.2940604937627794,7.973275775841052e-07
641_sim,-7.529801583315399,-4.884210015811716,-5.802707015603329e-06,0.8304062437210736,0.8966998044220421,4.403009417754913e-06
642_sim,-8.646656480790886,-5.027834536551581,3.485343542996386e-06,0.4193828943185712,0.3014516096192326,1.9767643183952466e-06
643_sim,-8.62205698701002,-4.689493222674941,-1.9775345464956107e-06,0.8742884430940353,0.5361639719949663,2.2951660691161677e-06
644_sim,-8.774158312629417,-5.301690136977764,-1.969256275499972e-06,0.5423462545850998,0.4316880668930286,2.6203458510913213e-06
645_sim,-8.67154147522309,-5.140019084864608,3.5688295007383234e-06,0.38155615561423095,0.29469130960810064,2.1013914167159856e-06
646_sim,-9.046955869473615,-4.883494571803549,-1.508177459677016e-06,0.5063329963955231,0.29848269648105646,1.8282331024562521e-06
647_sim,-9.813714029771198,-4.817379223378617,1.0129742976156173e-06,0.4465276347467581,0.21316820460651867,3.379721011853258e-07
648_sim,-7.734645958661199,-4.558054389060328,-4.04920131935783e-06,1.2876881111300444,0.9405055102859134,3.72446459329476e-06
649_sim,-10.116266637193812,-4.956022201180171,8.110764665958243e-07,0.08517902647649112,0.07778708529869474,5.209307022591014e-07
650_sim,-8.495460377237618,-4.565712577018259,-1.9900518661669306e-06,1.0654392247500293,0.6223823585469176,2.2875597007186823e-06
651_sim,-9.528868424526625,-5.001182085114446,-5.63756844393599e-07,0.3022203665297455,0.16079608580987192,1.2480212433506242e-06
652_sim,-9.35145156291716,-4.779018032123183,-5.03925858764211e-07,0.6014853649822441,0.37455439979901994,1.7313100023417807e-06
653_sim,-9.608785397913033,-5.349051212011345,2.301482228645734e-06,0.7556095212774061,0.3815751492386627,1.2986316467823429e-06
654_sim,-8.26056272409197,-6.069242745169074,5.740769659342416e-06,1.2302497908896788,0.9721571564733384,3.110738611773758e-06
655_sim,-8.865275173927646,-4.40662291161091,2.8705378417886934e-06,1.3438017371332238,0.6756102144633497,1.3725959316799423e-06
656_sim,-8.909270269413273,-5.458999748096277,2.954935005962496e-06,0.7509779529255264,0.4853510585429915,1.97311879921232e-06
657_sim,-10.078919713993209,-4.918719720364047,3.282644154086613e-07,0.33318266693656495,0.13544320197205803,4.992461741992011e-07
658_sim,-9.118183151532493,-4.575833846395063,-8.815527744966505e-07,0.964064091976782,0.496781993946791,1.6048836464062754e-06
659_sim,-9.521606966906617,-4.798789658184934,4.240621167585245e-08,0.5939761009328729,0.2909875294251617,9.203891147758528e-07
660_sim,-7.944845473289344,-4.79295201237164,-4.303457951813173e-06,0.7978074981231253,0.7077070202578556,3.8018966899095814e-06
661_sim,-9.718798646735454,-4.991828829453489,1.4260247724812992e-06,0.3633997174278884,0.13479112684815833,8.356852853951205e-07
662_sim,-8.061741551480578,-4.868872300596983,-3.278544104527716e-06,0.6814406614518809,0.5904539464169247,3.2728974753078705e-06
663_sim,-10.266790844602882,-4.576334514193402,7.610920488956094e-07,0.8423638113501603,0.3559513595524123,4.2850173036612044e-07
664_sim,-8.592226128488681,-4.5623288893301845,-1.8026295589587898e-06,1.0567037990587456,0.6120964519172739,2.380646632856825e-06
665_sim,-9.48246629336641,-4.829386329187081,-5.837623118459345e-07,0.44465269760532056,0.22286378169599658,1.009704534758309e-06
666_sim,-6.949547445528103,-6.424228367109503,1.2628353388339928e-05,0.4444445348517794,1.152130031381442,5.048428953512952e-06
667_sim,-9.861768114466386,-4.867790856873865,5.441422886279196e-07,0.26769353048342237,0.11360388771013352,4.4966045488497544e-07
668_sim,-9.698940342539236,-5.092875332965529,-3.020685998398117e-08,0.3088215223009567,0.1348404402433896,8.638869937632191e-07
669_sim,-7.636493989533294,-6.1952022769940385,9.055378179422113e-06,0.7547423317198477,0.8887295365701735,4.0465054453914845e-06
670_sim,-8.905027218031655,-5.716702200769672,3.49204693733261e-06,1.0092854863372909,0.6580471184510133,1.808287586336656e-06
671_sim,-8.650799323042333,-5.283021002378486,4.228576586404081e-06,0.3674640780229808,0.29111203548726605,1.9297691773306025e-06
672_sim,-8.321995249115965,-5.186281102819585,-2.6365520996758974e-06,0.44174964801610184,0.459398777670558,3.148700771200393e-06
673_sim,-8.948147062229873,-5.167084198762617,2.697048367828916e-06,0.4493243492054379,0.2740895138344276,1.7346977765757205e-06
674_sim,-9.291072446656997,-4.935951409896209,-3.6687415726115407e-07,0.33949594201409145,0.2540939465187464,1.4255216666805287e-06
675_sim,-7.926772975239963,-4.980547074535836,-3.442088183566916e-06,0.7525346202115163,0.6972895447891673,3.900533197546393e-06
676_sim,-10.150178414453995,-5.034904636537601,7.947947628697604e-07,0.48895253282042134,0.13346866661567344,7.625037581533893e-07
677_sim,-9.058978728874326,-4.627249217212819,-9.465401353026949e-07,0.8830980550005483,0.4703202546602299,1.6704666789207853e-06
678_sim,-10.192190292315171,-5.0064658372968545,1.0815611927164423e-06,0.6363165800139219,0.15935332387976692,9.923212216684752e-07
679_sim,-6.84084425963994,-7.3284121979456245,1.5642765799953585e-05,0.49680003270125134,0.48616692770959036,2.6739086122004133e-06
680_sim,-8.876142728186194,-5.162974326696028,-1.4001195812729847e-06,0.41104378523342316,0.2996954327910842,2.187638810555439e-06
681_sim,-10.13145357159731,-4.494111716762671,1.1578534343549426e-06,1.000667402502689,0.37640758561587045,8.104727871775039e-07
682_sim,-8.474288692336014,-6.1019675656583,4.732792355686481e-06,1.4748641997394532,1.0958107109113209,2.6218723435990886e-06
683_sim,-8.812862147242805,-4.56402933527685,-2.249239634062372e-06,0.8359456034498597,0.4781936069251217,2.1078392184510884e-06
684_sim,-7.4460421807843025,-6.761243657116372,1.0523013773772424e-05,1.2570026973296622,1.393276125131828,4.6984118716072466e-06
685_sim,-8.97233188434104,-5.0169383220144335,-1.123141588002591e-06,0.34303197934909235,0.23584300102336697,1.7014410717446152e-06
686_sim,-9.607694605050618,-4.555075862439528,-2.554781305800037e-07,0.9310294860861691,0.44222011450115273,5.764560509726558e-07
687_sim,-9.858571643265824,-4.7125038732449385,-2.3117628744123957e-07,0.6474454360872137,0.2978793957068493,5.511738973377219e-07
688_sim,-9.310882026338472,-5.135254358331806,-1.161724394711992e-06,0.4183946401104023,0.245059006507828,1.6785175938638028e-06
