,DeltaG,DeltaH,DeltaH_0,DeltaG_std,DeltaH_std,DeltaH_0_std
160_sim,-9.7837419045583,-4.847137834954704,6.99729792129005e-07,0.1238344041285268,0.04436684876114315,3.291632514364198e-07
161_sim,-9.50641186436045,-5.883811839364223,2.132157187828786e-06,0.4202284602391446,0.19855713600129835,1.5165131078291476e-06
162_sim,-8.894981764235187,-5.019450351356145,2.9113425928229657e-06,0.3822075623339512,0.2520845257850832,1.806962743298369e-06
163_sim,-8.195154863342482,-5.9309188440358795,5.951404948271887e-06,0.4249219277867274,0.4871819801870456,3.3268873000048314e-06
164_sim,-7.874050894958152,-6.170520598748758,7.467214586121882e-06,0.4223085969936112,0.619740527949811,3.6590884035151326e-06
165_sim,-8.76985908035674,-5.306061059780788,-1.5628255383241758e-06,0.41675675764211795,0.3465209059011199,2.4980343438139464e-06
166_sim,-9.213373432532084,-5.165031413053834,2.1753577502202665e-06,0.36778780560067226,0.20936806959917392,1.5034658204700482e-06
167_sim,-9.911309049951244,-5.694959650552271,5.606234111169168e-07,0.10250766388928707,0.03706161332436643,3.003929072397431e-07
168_sim,-9.21273205875836,-4.442332950102644,-6.826265593167999e-07,0.3468768413184542,0.16404052439166855,1.2314360190368068e-06
169_sim,-9.662880689611686,-4.76108793665797,1.5934113633477876e-06,0.027105851813452913,0.16263483479956334,1.2429541853544064e-06
170_sim,-7.458001967909454,-4.964610167174351,-7.279565049209543e-06,0.5494715541210943,0.8637133307399391,4.960815057424609e-06
171_sim,-9.05316599972236,-4.71641505267733,2.7962773132881627e-06,0.3747763405320851,0.20650747532849392,1.5184727834330577e-06
172_sim,-8.212940727590542,-5.42251464312219,6.029325140514071e-06,0.4096781171041874,0.4392474885629967,2.8348841724721823e-06
173_sim,-8.329505315196227,-4.784430289212362,4.370748890981138e-06,0.40608977753951736,0.34090311888882335,2.273944279928355e-06
174_sim,-7.699066953714999,-4.632016114269117,-4.309256493114183e-06,0.4807262560810394,0.6455515004269633,3.888342870767997e-06
175_sim,-9.965676883001994,-4.705199596660113,3.9778105080956053e-07,0.1774836687182304,0.04784379521034286,3.6640418458189176e-07
176_sim,-9.748168649530525,-4.916380159584508,1.3456779211029242e-06,0.37372976115428114,0.12594507982962821,9.513924029805726e-07
