,P0,Ls,DeltaG,DeltaH,DeltaH_0,P0_std,Ls_std,DeltaG_std,DeltaH_std,DeltaH_0_std
333_sim,0.1145144956734245,0.9558506834113744,-9.919217365166828,-4.777404271916832,7.932603598248704e-07,0.007421954783232706,0.06154945781987557,0.17395211236831307,0.3101258821545142,4.053467512092964e-07
334_sim,0.11327746620498273,1.3243818898168558,-9.845496885641436,-4.130406090436282,4.887224946655105e-07,0.0032227667724902013,0.03831048820313452,0.11145414533224636,0.11981480566205892,2.2238715634773935e-07
335_sim,0.06940892481099728,0.680343425987092,-10.299974327240864,-6.970418780754014,4.6228886713756796e-07,0.0026880416938612367,0.02596401801675484,0.21429150440760344,0.2639565022624561,3.7082554663759636e-07
336_sim,0.07626279406871876,0.8537825913421515,-10.041643660855303,-5.8733091303687495,6.813280010693732e-07,0.0038042461571598622,0.04255518442264764,0.06701309841834249,0.3015517940585137,1.5699389282981638e-07
337_sim,0.07586319606482214,0.8299369550222808,-10.361256644097145,-6.291723221670015,2.555859398495305e-07,0.003388117050648917,0.03715259598116817,0.16366791653305696,0.27802101707008525,2.307166207343807e-07
338_sim,0.08022404674734548,0.8585229080268457,-9.827467607596013,-6.161323860443313,4.367790445498617e-07,0.00852810324825656,0.09091384846045801,0.1070355480814287,0.6475946256131315,2.2487863784027232e-07
339_sim,0.09543596330660163,0.9945970119534848,-10.101843928426883,-5.755697242143863,1.500755195180044e-07,0.004093106117258377,0.04259400364032099,0.09806668796892565,0.24066159711823476,2.731983844463525e-07
340_sim,0.1287946875322046,1.108993213481122,-9.937264005178164,-4.6118148950991795,3.114110364632779e-07,0.007206114134871062,0.062279236477218655,0.1158218138610273,0.2651560049472924,3.771063450190009e-07
341_sim,0.0965213407162643,1.0918933570488107,-10.095581457297785,-4.852784661433529,8.029209369090124e-07,0.005251041515937581,0.06026042144116216,0.12663350253856046,0.27181821615075147,3.083666955645295e-07
342_sim,0.0983827121108788,0.9180829675468318,-10.140953505854021,-5.407144407918788,3.203437330035701e-07,0.00551881045470936,0.05165314915933271,0.11187103213388097,0.31187853143245153,3.1001557763123157e-07
343_sim,0.09391726386930685,1.1228785402670607,-9.914756626116432,-5.261931175928755,5.988635867453932e-07,0.0051316338638070684,0.061710030960068156,0.13607072019911642,0.2958898498086346,2.670006803580388e-07
344_sim,0.09852413873748805,1.1094873274970698,-10.110178261094052,-4.878515256195795,6.745515911495311e-07,0.00523090072336829,0.059231191673056016,0.12600689182303684,0.25963224461421286,3.086868181291255e-07
345_sim,0.10783657339200323,1.1623693857450368,-9.979752993007311,-4.149364835125865,1.058687485913448e-07,0.004756173000583926,0.05129389978374972,0.1843947885431042,0.1850745828147063,2.8909320361452513e-07
346_sim,0.12321583415537235,1.0051259387848213,-9.955959590350787,-3.9684772867984694,5.716198796578284e-07,0.005387830807554953,0.043444611861946925,0.15670683916293277,0.18030340456156044,3.3528443500178027e-07
347_sim,0.10472587910368726,1.057924319233225,-9.861025166285824,-4.538558983502952,7.515527917724678e-07,0.005492616354283673,0.055319862160761374,0.12062976881156426,0.24972065541278665,3.2701738069882134e-07
