,P0,DeltaG,DeltaH,DeltaH_0,P0_std,DeltaG_std,DeltaH_std,DeltaH_0_std
353_sim,0.1383868403693445,-9.944432803159087,-4.227427582077576,1.4242340965539535e-07,0.00039330428283075976,0.18464090760963828,0.054852065959708825,5.097237900743301e-07
354_sim,0.09861494294883823,-9.578008733815105,-5.307384107494647,8.940322357318877e-07,0.0006584247744228777,0.21725851754804193,0.10084927849469284,7.785615614872593e-07
355_sim,0.12254029611658772,-9.761096873286029,-4.924565255003106,9.881367689623938e-07,0.00036280821893789467,0.13797918512371926,0.05318901091292485,4.688139172653759e-07
356_sim,0.13774286418564674,-8.774725124054669,-4.522489156018545,3.1349655112171915e-06,0.0022912979527159928,0.3372296506554865,0.23842473062948408,2.173474137353835e-06
357_sim,0.09139700248078657,-9.892076682879429,-5.819268308184526,4.357928500154268e-08,0.0002803909708985531,0.1697608441427029,0.05698605882697099,4.182976462483827e-07
358_sim,0.10420370454629536,-12.399650108966975,-5.556134761393854,-3.2980783735814687e-07,0.00035539930068675946,4.775125447089037,0.06777648397405786,5.671207947140586e-07
359_sim,0.11375873282831503,-10.007208607538704,-4.565305756275289,6.090446971992768e-07,0.0002041727822635033,0.09390150683763325,0.028399547511170586,2.4337903391600365e-07
360_sim,0.11413411492601076,-9.9190381774511,-4.50583657965018,5.580396837680931e-07,0.00030071224899525314,0.12132767006768179,0.040084186390878455,3.4370322433290325e-07
361_sim,0.11937393256685873,-9.879554314821966,-4.751036528354087,3.465721719924157e-07,0.0002908375373407585,0.14116439172589093,0.04464851203890128,3.8206407484698247e-07
362_sim,0.104264609920931,-8.621136235581586,-4.647889266982802,1.0033543959432799e-06,0.0028103772943597017,0.43157902183595487,0.2964226114791871,2.2415926208678324e-06
363_sim,0.10179589911984425,-9.869401245434068,-4.603620118644352,1.019468463350231e-06,0.0003222219213654941,0.18616532825743481,0.05074063137219133,3.980242011693196e-07
364_sim,0.11171028156120301,-9.783526148005086,-4.420533005047555,4.03684432975943e-07,0.00030271880776827355,0.14226892120771606,0.04281107893562947,3.550131453005562e-07
365_sim,0.10888771067553099,-8.411280348537016,-5.5214426933272405,2.552411330681203e-06,0.002940839261564327,0.3730595951736597,0.34640635577737877,2.649173579749156e-06
366_sim,0.12021992430507886,-9.64218843033676,-4.942767165399395,6.713015514252246e-07,0.00042273382748712066,0.1597314207944194,0.06324777163478278,5.428038343754873e-07
367_sim,0.10071832843633227,-9.791429070834559,-4.230817133072872,7.426200948929622e-07,0.0002996396985218801,0.1494550332808966,0.041601139656997715,3.227604565600474e-07
368_sim,0.12098509548918467,-8.987881916647526,-4.409024639943686,1.2472003317102212e-06,0.0013062255736078136,0.2509364629890529,0.14010798855687973,1.1889074087946303e-06
369_sim,0.10456932076186419,-9.623682146211872,-4.932562989065101,7.428290152621224e-07,0.0004191344060782316,0.1432546683765408,0.05942634308367785,4.801403109116478e-07
370_sim,0.10793389645940443,-9.912240829133227,-5.2603424322157135,4.560794375913139e-07,0.00024673120524612276,0.1004400986024674,0.03889241567508522,3.188853363588457e-07
371_sim,0.11059193002827751,-9.830896913057975,-4.976818885743839,-1.1337269185997861e-08,0.00023407127845954438,0.11860808033299823,0.038253415219052955,3.135068535163206e-07
372_sim,0.08179714803469727,-10.22144301560045,-5.379340770704359,2.1852082936745154e-08,0.00018145841704197787,0.16968140255484412,0.03711540933220167,2.565699116440436e-07
373_sim,0.1039789755563096,-9.907618818593916,-5.0031765332648686,4.3518574544272013e-07,0.0002544497215945044,0.12065060131400455,0.03961378367581385,3.2173084105249703e-07
