,P0,DeltaG,DeltaH,DeltaH_0,P0_std,DeltaG_std,DeltaH_std,DeltaH_0_std
792_sim,0.09908775714757778,-9.516187265117939,-5.297893977011787,6.425757486424807e-07,0.004152685461492978,0.6839211649417675,0.37660739704270496,6.806866888112325e-07
793_sim,0.10565264489651102,-10.091921459920815,-4.791130833129838,9.569076652469839e-07,0.000286932857545085,0.5676996642200758,0.26654811903162495,3.268136051874065e-07
794_sim,0.10433685612491385,-8.373101767740785,-4.709814782388532,1.9660132729954375e-06,0.012998238643693675,0.8059760974526652,0.5139068347589751,2.5210490272871066e-06
795_sim,0.12290532472575862,-9.731954344998677,-3.719651272631955,3.486958566805619e-07,0.010163866262386594,2.548203761353239,0.9731091826245002,4.712786353410997e-07
796_sim,0.10099229323796984,-9.492001325506243,-4.2120868884314975,2.8742052739641356e-08,0.013512554553348,1.2688641401378027,0.5609134295647281,5.027264326912571e-07
797_sim,0.08859835743314105,-9.529135741668256,-5.342312393762644,-2.3675117434681607e-07,0.004959501321409309,0.9442704544384266,0.5248453219130332,8.711572787205196e-07
798_sim,0.10412971947674989,-9.734906784432555,-4.656647802279357,3.4725482567278765e-07,0.0037432645549975506,0.6088678320518152,0.2814462654517829,6.625596161930162e-07
799_sim,0.134527865942921,-8.805250940542983,-4.799340403862503,1.6605637935125948e-06,0.0308842786351566,0.641137824821558,0.3664523611096647,1.5058838468835599e-06
800_sim,0.11966002879927842,-8.76856455030274,-4.263641878820902,1.3810222079520754e-06,0.0022629770895351595,1.5966896627357334,0.7800318558632564,1.041699406399466e-06
801_sim,0.10029094356841481,-9.47211612879992,-4.640845894233321,7.63144999525877e-07,0.007427872134359798,0.6296441139311701,0.3028858763437864,6.561682739178849e-07
802_sim,0.08728998490036816,-9.908095978486392,-5.504870074945238,7.46843169939565e-08,0.0027776373171687096,1.2815521473826639,0.7087212275383078,5.607003453524762e-07
803_sim,0.11181187332993532,-8.392380550459373,-4.994181043451775,2.116404042395216e-06,0.003414097906063742,0.46817092350879674,0.3798361494775077,2.7918219800527606e-06
804_sim,0.09850267990437037,-9.588733872692094,-5.138143208523437,6.951543914739162e-07,0.0005475456860216265,0.32127369945289785,0.1643030759519867,6.093787440507821e-07
805_sim,0.10037508633138399,-9.917476594012356,-4.7136381642489695,3.810869781096851e-08,0.003891220100145147,0.47973675292523704,0.22269488728567893,2.801029155250252e-07
806_sim,0.10072772730696264,-9.996829844811197,-4.88395596838082,6.026600158049861e-07,0.0012892550315544724,0.23464797041793817,0.09733072104498967,3.0048653347597956e-07
807_sim,0.09919406343158012,-10.013387611425838,-5.3132715805850825,2.3317765857991153e-07,0.0062941742516475566,0.7471255774857978,0.39269110921126976,3.3980027434073896e-07
808_sim,0.08124290475097731,-9.754806400098866,-5.587243794009344,9.565352459223303e-07,0.0072766973722436816,1.1258143631018729,0.6422404176173818,3.617374982092278e-07
809_sim,0.08066326783090674,-9.731530876921772,-5.496617040129785,3.4383923861003136e-07,0.008940822070370183,0.9867651165736734,0.5558154280899565,2.986238009776482e-07
810_sim,0.08681356908624073,-9.82429970560616,-4.951503704319339,6.474114878902253e-07,0.01244338083355673,0.13032566853134764,0.05400560917946497,3.049364736256775e-07
811_sim,0.11847273675726928,-9.963213200726054,-4.711042781248149,-4.378734740119586e-07,0.0169802055948368,0.37398821331878795,0.16809087051076516,4.1143295946704043e-07
812_sim,0.10022609537412051,-9.494538313456369,-4.908802160522624,5.284193209291661e-07,0.0016604735664563052,0.20042075852275387,0.08802928655811709,5.915570830355971e-07
813_sim,0.08843337029219954,-10.04079654498856,-5.305259600189077,2.8103520868178546e-08,0.004803360136039074,0.6988877110203912,0.3657211152211943,3.826822100317377e-07
814_sim,0.0994744712548939,-9.722668932133365,-4.436811422561658,8.337405393864316e-07,0.012946732019719027,1.1228868007760515,0.5104067792711324,3.8193339685198313e-07
815_sim,0.13513902637021247,-9.526489661416994,-4.062305695290619,9.461087936400055e-07,0.012549600812092481,1.8493180352823428,0.7885678411546535,4.786707758547581e-07
